# 吳語
id,丹陽後巷童家橋_聲母,丹陽後巷童家橋_韻母,丹陽後巷童家橋_調值,丹陽後巷童家橋_調類,靖江_聲母,靖江_韻母,靖江_調值,靖江_調類,丹陽_聲母,丹陽_韻母,丹陽_調值,丹陽_調類,江陰_聲母,江陰_韻母,江陰_調值,江陰_調類,常州_聲母,常州_韻母,常州_調值,常州_調類,金壇西崗_聲母,金壇西崗_韻母,金壇西崗_調值,金壇西崗_調類,溧陽_聲母,溧陽_韻母,溧陽_調值,溧陽_調類,宜興_聲母,宜興_韻母,宜興_調值,宜興_調類,常熟_聲母,常熟_韻母,常熟_調值,常熟_調類,無錫_聲母,無錫_韻母,無錫_調值,無錫_調類,寶山霜草墩_聲母,寶山霜草墩_韻母,寶山霜草墩_調值,寶山霜草墩_調類,崑山_聲母,崑山_韻母,崑山_調值,崑山_調類,蘇州_聲母,蘇州_韻母,蘇州_調值,蘇州_調類,蘇州(當代吳語)_聲母,蘇州(當代吳語)_韻母,蘇州(當代吳語)_調值,蘇州(當代吳語)_調類,上海(三林塘)_聲母,上海(三林塘)_韻母,上海(三林塘)_調值,上海(三林塘)_調類,溫州_聲母,溫州_韻母,溫州_調值,溫州_調類,雲和_聲母,雲和_韻母,雲和_調值,雲和_調類,開化_聲母,開化_韻母,開化_調值,開化_調類,龍游_聲母,龍游_韻母,龍游_調值,龍游_調類,常山_聲母,常山_韻母,常山_調值,常山_調類,江山(江山市)_聲母,江山(江山市)_韻母,江山(江山市)_調值,江山(江山市)_調類,玉山_聲母,玉山_韻母,玉山_調值,玉山_調類,遂昌_聲母,遂昌_韻母,遂昌_調值,遂昌_調類,廣豐(永豐鎮)_聲母,廣豐(永豐鎮)_韻母,廣豐(永豐鎮)_調值,廣豐(永豐鎮)_調類,浦城(南浦鎮城關話)_聲母,浦城(南浦鎮城關話)_韻母,浦城(南浦鎮城關話)_調值,浦城(南浦鎮城關話)_調類,慶元_聲母,慶元_韻母,慶元_調值,慶元_調類,宣州市裘公鄉_聲母,宣州市裘公鄉_韻母,宣州市裘公鄉_調值,宣州市裘公鄉_調類,貴池市茅坦鄉_聲母,貴池市茅坦鄉_韻母,貴池市茅坦鄉_調值,貴池市茅坦鄉_調類,寧國市莊村鄉_聲母,寧國市莊村鄉_韻母,寧國市莊村鄉_調值,寧國市莊村鄉_調類,貴池市灌口鄉_聲母,貴池市灌口鄉_韻母,貴池市灌口鄉_調值,貴池市灌口鄉_調類,寧國市南極鄉_聲母,寧國市南極鄉_韻母,寧國市南極鄉_調值,寧國市南極鄉_調類,黃山區甘棠鎮_聲母,黃山區甘棠鎮_韻母,黃山區甘棠鎮_調值,黃山區甘棠鎮_調類,蕪湖縣_聲母,蕪湖縣_韻母,蕪湖縣_調值,蕪湖縣_調類,繁昌_聲母,繁昌_韻母,繁昌_調值,繁昌_調類,銅陵縣_聲母,銅陵縣_韻母,銅陵縣_調值,銅陵縣_調類,南陵(仙坊話)_聲母,南陵(仙坊話)_韻母,南陵(仙坊話)_調值,南陵(仙坊話)_調類,涇縣_聲母,涇縣_韻母,涇縣_調值,涇縣_調類,石台_聲母,石台_韻母,石台_調值,石台_調類,寶山羅店_聲母,寶山羅店_韻母,寶山羅店_調值,寶山羅店_調類,上海_聲母,上海_韻母,上海_調值,上海_調類,南匯周浦_聲母,南匯周浦_韻母,南匯周浦_調值,南匯周浦_調類,松江_聲母,松江_韻母,松江_調值,松江_調類,吳江黎里_聲母,吳江黎里_韻母,吳江黎里_調值,吳江黎里_調類,吳江盛澤_聲母,吳江盛澤_韻母,吳江盛澤_調值,吳江盛澤_調類,嘉興_聲母,嘉興_韻母,嘉興_調值,嘉興_調類,湖州雙林_聲母,湖州雙林_韻母,湖州雙林_調值,湖州雙林_調類,杭州_聲母,杭州_韻母,杭州_調值,杭州_調類,餘姚_聲母,餘姚_韻母,餘姚_調值,餘姚_調類,紹興_聲母,紹興_韻母,紹興_調值,紹興_調類,諸暨王家井_聲母,諸暨王家井_韻母,諸暨王家井_調值,諸暨王家井_調類,嵊縣崇仁_聲母,嵊縣崇仁_韻母,嵊縣崇仁_調值,嵊縣崇仁_調類,嵊縣太平_聲母,嵊縣太平_韻母,嵊縣太平_調值,嵊縣太平_調類,寧波_聲母,寧波_韻母,寧波_調值,寧波_調類,黃岩_聲母,黃岩_韻母,黃岩_調值,黃岩_調類,金華_聲母,金華_韻母,金華_調值,金華_調類,永康_聲母,永康_韻母,永康_調值,永康_調類,衢州_聲母,衢州_韻母,衢州_調值,衢州_調類
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dɦ,oŋ,324,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ts,oŋ,42,陰平,tɕ,ioŋ,433,陰平,ts,oŋ,22,陰平,ts,oŋ,51,陰平,ts,oŋ,44,陰平,ts,oŋ,31,陰平,ts,oŋ,445,陰平,ts,oŋ,55,陰平,tʂ,ʊŋ,52,陰平,ts,oŋ,55,陰平,ts,oŋ,52,陰平,ts,oŋ,44,陰平,ts,oŋ,44,陰平,ts,oŋ,44,陰平,ts,oŋ,53,陰平,tɕ,yoŋ,44,陰平,tʃ,ioŋ,324,陰平,t/tɕ,oŋ/ioŋ,45,陰平,ts,oŋ,434,陰平,t/ts,oŋ,45,陰平,,,,,t/tɕ,ioŋ/oŋ,33,陰平,t/tɕ,əŋ/iɔŋ,,陰平,t/tɕ,oŋ/ioŋ,445,陰平,ts,ouŋ,35,陰平,tɕ/ʔd,ɪŋ/ioŋ/iɔ̃,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,oŋ,44,陰平,,,,,ts,oŋ,53,陰平,tɕ,yoŋ,44,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,oŋ,44,陰平,,,,,ts,oŋ,53,陰平,tɕ,yoŋ,44,陰平,tʃ,ioŋ,324,陰平,tɕ,ioŋ,45,陰平,ts,oŋ,434,陰平,ts,oŋ,45,陰平,tɕ,ioŋ,44,陰平,tɕ,ioŋ,33,陰平,tɕ,iɔŋ,55,陰平,tɕ,ioŋ,445,陰平,ts,ouŋ,35,陰平,tɕ,ioŋ,334,陰平,ts,oŋ,31,陰平,ts,oŋ,31,陰平,ts,əŋ,55,陰平,ts,oŋ,31,陰平,ts,əŋ,55,陰平,ts,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,dz,oŋ,31,陽平,dʑ,ioŋ,223,陽平,dz/ts,oŋ,213/324,陽平/陰去,dz,oŋ,223,陽去,dz,oŋ,213,陽平,tsʰ,oŋ,35,陽平,dz,oŋ,323,陽平,dz,oŋ,223,陽平,dʐ,ʊŋ,233,陽平,z,oŋ,213,陽去,z,oŋ,231,陽平,z,oŋ,24,陽平,z,oŋ,24,陽平,z,oŋ,223,陽平,zɦ,oŋ,324,陽平,dʑ,yoŋ,31,陽平,dʒ,ioŋ,423,陽平,d/dʑ,oŋ/ioŋ,45/341,陰平/陽平,dz,oŋ,21,陽平,d/ts,oŋ/ã,45/341,陽平/陰平,d,ã,313,陽平,d/dʑ,ã/ioŋ,24,陽平,dʑ,iɔŋ,221,陽平,dʑ,ioŋ,341,陽平,t,ouŋ,213,陽平,t/tɕ,oŋ/ioŋ,52,陽平,ɦz,oŋ,13,陽平,ɦz,oŋ,35,陽平,hz,əŋ,11,陽平,ɦz,oŋ,13,陽平,hz,əŋ,13,陽平,z,oŋ,213,陽平,ʂɦ,oŋ,35,陽平,sɦ,əŋ,35,陽平,z,om,11,陽平,z,əŋ,35,陽平,sɦ,oŋ,35,陽平,sh,oŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃʰ,ioŋ,423,陽平,tɕʰ,ioŋ,45,陰平,tsʰ,oŋ,434,陰平,tsʰ,oŋ,45,陰平,tɕʰ,ioŋ,44,陰平,tɕʰ,ioŋ,33,陰平,tɕʰ,iɔŋ,55,陰平,tɕʰ,ioŋ,445,陰平,tsʰ,ouŋ,35,陰平,tɕʰ,ioŋ,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,ouŋ,35,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ts,oŋ,42,陰平,tɕ,ioŋ,433,陰平,ts,oŋ,22,陰平,ts,oŋ,51,陰平,ts,oŋ,44,陰平,ts,oŋ,31,陰平,ts,oŋ,445,陰平,ts,oŋ,55,陰平,tʂ,ʊŋ,52,陰平,ts,oŋ,55,陰平,ts,oŋ,52,陰平,ts,oŋ,44,陰平,ts,oŋ,44,陰平,ts,oŋ,44,陰平,ts,oŋ,53,陰平,tɕ,yoŋ,44,陰平,,,,,tɕ,ioŋ,45,陰平,ts,oŋ,434,陰平,ts,oŋ,45,陰平,tɕ,ioŋ,44,陰平,tɕ,ioŋ,33,陰平,tɕ,iɔŋ,55,陰平,tɕ,ioŋ,445,陰平,ts,ouŋ,35,陰平,tɕ,ioŋ,334,陰平,ts,oŋ,31,陰平,ts,oŋ,31,陰平,ts,əŋ,55,陰平,ts,oŋ,31,陰平,ts,əŋ,55,陰平,ts,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,oŋ,44,陰平,,,,,ts,oŋ,53,陰平,tɕ,yɔ,44,陰平,,,,,tɕ,ioŋ,45,陰平,ts,oŋ,434,陰平,,,,,,,,,tɕ,ioŋ,33,陰平,tɕ,iɔŋ,55,陰平,tɕ,ioŋ,445,陰平,,,,,tɕ,iɔ̃,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,dz,oŋ,31,陽平,dʑ,ioŋ,223,陽平,dz/ts,oŋ,213/324,陽平/陰去,dz,oŋ,223,陽去,dz,oŋ,213,陽平,tsʰ,oŋ,35,陽平,dz,oŋ,323,陽平,z,oŋ,223,陽平,z,ʊŋ,233,陽平,z,oŋ,213,陽去,z,oŋ,231,陽平,z,oŋ,24,陰平/陽平,z,oŋ,24,陽平,z,oŋ,223,陽平,zɦ,oŋ,324,陽平,z,oŋ,31,陽平,z,oŋ,423,陽平,,,,,dz,oŋ,21,陽平,dz/z,oŋ,341,陽平,ɕ,ioŋ,313,陽平,z,oŋ,24,陽平,ʑ,iɔŋ,221,陽平,dʑ/s,ioŋ/oŋ,341,陽平,,,,,s,oŋ,52,陽平,ɦz,oŋ,13,陽平,ɦz,oŋ,35,陽平,hz,əŋ,11,陽平,ɦz,oŋ,13,陽平,hz,əŋ,13,陽平,z,oŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dz/z,oŋ,341,陽平,ɕ,ioŋ,313,陽平,,,,,,,,,dʑ/s,ioŋ/oŋ,341,陽平,,,,,,,,,ɦz,oŋ,13,陽平,,,,,hz,əŋ,11,陽平,ɦz,oŋ,13,陽平,hz,əŋ,13,陽平,z,oŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,s,oŋ,42,陰平,s,oŋ,433,陰平,s,oŋ,22,陰平,s,oŋ,51,陰平,s,oŋ,44,陰平,s,oŋ,31,陰平,s,oŋ,445,陰平,s,oŋ,55,陰平,s,ʊŋ,52,陰平,s,oŋ,55,陰平,s,oŋ,52,陰平,s,oŋ,44,陰平,,,,,s,oŋ,44,陰平,s,oŋ,53,陰平,,,,,s,oŋ,324,陰平,s,oŋ,45,陰平,s,oŋ,434,陰平,,,,,s,oŋ,44,陰平,s,oŋ,33,陰平,s,əŋ,55,陰平,s,oŋ,445,陰平,s,ouŋ,35,陰平,s,oŋ,334,陰平,s,oŋ,31,陰平,s,oŋ,31,陰平,s,əŋ,55,陰平,s,oŋ,31,陰平,s,əŋ,55,陰平,s,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,oŋ,53,陰平,,,,,,,,,s,oŋ,45,陰平,,,,,,,,,s,oŋ,44,陰平,,,,,,,,,s,oŋ,445,陰平,,,,,,,,,s,oŋ,31,陰平,s,oŋ,31,陰平,s,əŋ,55,陰平,s,oŋ,31,陰平,s,əŋ,55,陰平,s,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,oŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ȵ,ioŋ,31,陽平,ɕʑ,ioŋ,223,陽平,ȵ,ioŋ,213/22,陽平/陰平,z,oŋ,223,陽去,l/z,oŋ,24,陽去,l,oŋ,35,陽平,ȵ/sz,ioŋ/oŋ,412/323,陰去/陽平,z,oŋ,223,陽平,ȵ,iʊŋ,233,陽平,ȵ/z,ioŋ/oŋ,213,陽去,z,oŋ,231,陽平,z,oŋ,24,陽平,ȵ/z,ioŋ/oŋ,24,陽平,z,oŋ,223,陽平,0,ü̥oŋ,324,陽平,z,oŋ,31,陽平,,ioŋ,423,陽平,ʑ,ioŋ,341,陽平,,ioŋ,21,陽平,z,oŋ,341,陽平,,,,,z,oŋ,24,陽平,ʑ,iɔŋ,221,陽平,,,,,0,iuŋ,35,陰平,,ioŋ,52,陽平,,,,,,,,,0,ʯn,55,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ü̥oŋ,324,陽平,,,,,,,,,ʑ,ioŋ,341,陽平,,,,,z,oŋ,341,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ʯn,55,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ü̥oŋ,324,陽平,,,,,,,,,ʑ,ioŋ,341,陽平,,,,,0,ioŋ,341,陽平,ɕ,ioŋ,313,陽平,,,,,,,,,0,ioŋ,341,陽平,,,,,,,,,0,yŋ,31,陰平,0,yŋ,31,陰平,,,,,0,yŋ,31,陰平,0,ʯŋ,33,次濁平,0,yŋ,53,陰平,ʐ,oŋ,35,陽平,0,iəŋ,35,陽平,0,iom,11,陽平,0,iəŋ,35,陽平,0,ioŋ,35,陽平,0,ioŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ȵ,ioŋ,31,陽平,ɦ,ioŋ,223,陽平,ȵ,ioŋ,213,陽平,ȵ,ioŋ,223,陽去,ȵ,ioŋ,213,陽平,ȵ,ioŋ,35,陽平,ȵ,ioŋ,323,陽平,ȵ,ioŋ,223,陽平,ȵ,iʊŋ,233,陽平,ȵ,ioŋ,213,陽去,ȵ,ioŋ,231,陽平,ȵ,ioŋ,24,陽平,ȵ,ioŋ,24,陽平,ȵ,ioŋ,223,陽平,0,ü̥oŋ,324,陽平,0,in,31,陽平,,ioŋ,423,陽平,ʑ,ioŋ,341,陽平,ʑ,ioŋ,21,陽平,0,ioŋ,341,陽平,ɕ,ioŋ,313,陽平,,ioŋ,24,陽平,ʑ,iɔŋ,221,陽平,0,ioŋ,341,陽平,0,iuŋ,35,陰平,,ioŋ,52,陽平,0,yŋ,31,陰平,0,yŋ,31,陰平,,,,,0,yŋ,31,陰平,0,ʯŋ,33,次濁平,0,yŋ,53,陰平,ʐ,oŋ,35,陽平,0,iəŋ,35,陽平,0,iom,11,陽平,0,iəŋ,35,陽平,0,ioŋ,35,陽平,0,ioŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,k,oŋ,42,陰平,k,oŋ,433,陰平,k,oŋ,22,陰平,k,oŋ,51,陰平,k,oŋ,44,陰平,k,oŋ,31,陰平,k,oŋ,445,陰平,k,oŋ,55,陰平,k,ʊŋ,52,陰平,k,oŋ,55,陰平,k,oŋ,52,陰平,k,oŋ,44,陰平,k,oŋ,44,陰平,k,oŋ,44,陰平,k,oŋ,53,陰平,k/tɕ,oŋ/yoŋ,44,陰平,k/tʃ,oŋ/ioŋ,324,陰平,k,oŋ,45,陰平,k,oŋ,434,陰平,k,oŋ,45,陰平,k,əŋ,44,陰平,k,ioŋ,33,陰平,k,əŋ,55,陰平,k,ioŋ,445,陰平,k,iuŋ,35,陰平,tɕ,ioŋ,334,陰平,k,oŋ,31,陰平,k,oŋ,31,陰平,k,uŋ,55,陰平,k,oŋ,31,陰平,k,əŋ,55,陰平,k,oŋ,53,陰平,k,oŋ,31,陰平,k,əŋ,31,陰平,k,om,55,陰平,k,əŋ,33,陰平,k,oŋ,44,陰平,k,oŋ,31,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,oŋ,53,陰平,,,,,,,,,k,oŋ,45,陰平,,,,,k,oŋ,45,陰平,k,ioŋ,44,陰平,,,,,,,,,k,ioŋ,445,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,oŋ,44,陰平,,,,,k,oŋ,53,陰平,k/tɕ,oŋ/yoŋ,44,陰平,k/tʃ,ioŋ/oŋ,324,陰平,k,oŋ,45,陰平,k,oŋ,434,陰平,k,oŋ,45,陰平,k,ioŋ,44,陰平,k,ioŋ,33,陰平,k,əŋ,55,陰平,k,ioŋ,445,陰平,k,iuŋ,35,陰平,k,oŋ,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,oŋ,44,陰平,,,,,k,oŋ,53,陰平,k/tɕ,oŋ/yoŋ,44,陰平,k/tʃ,oŋ/ioŋ,324,陰平,k,oŋ,45,陰平,k,oŋ,434,陰平,k,oŋ,45,陰平,k,ioŋ,44,陰平,k,ioŋ,33,陰平,k,əŋ,55,陰平,k,ioŋ,445,陰平,k,iuŋ,35,陰平,tɕ,ioŋ,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,ioŋ,24,陽平,,,,,0,ioŋ,324,陽平,j,yoŋ,31,陽平,,ioŋ,423,陽平,ʑ,ioŋ,341,陽平,,ioŋ,21,陽平,0,ioŋ,341,陽平,,,,,,ioŋ,24,陽平,ø,iɔŋ,221,陽平,0,ioŋ,341,陽平,,,,,,ioŋ,52,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ioŋ,324,陽平,,,,,,,,,ʑ,ioŋ,341,陽平,,,,,0,ioŋ,341,陽平,,,,,,,,,,,,,0,ioŋ,341,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,ioŋ,24,陽平,,,,,0,ioŋ,324,陽平,j,yoŋ,31,陽平,,ioŋ,423,陽平,ʑ,ioŋ,341,陽平,,ioŋ,21,陽平,0,ioŋ,341,陽平,0,ioŋ,313,陽平,,ioŋ,24,陽平,ø/ʑ,iɔŋ,221,陽平,0,ioŋ,341,陽平,x,iuŋ,213,陽平,,ioŋ,52,陽平,ɦʑ,yŋ,13,陽平,ɦʑ,yŋ,35,陽平,hʑ,ʯn,11,陽平,ɦʑ,yŋ,13,陽平,hʐ,ʯŋ,13,陽平,ʑ,yŋ,213,陽平,ʂɦ,oŋ,35,陽平,ɕɦ,iəŋ,35,陽平,ʑ,iom,55,陰平,ʑ,iəŋ,35,陽平,ɕɦ,ioŋ,35,陽平,ɕh,ioŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,ɕ,ioŋ,42,陰平,ɦ,ioŋ,223,陽平,ɕʑ,ioŋ,213,陽平,ɦ,ioŋ,223,陽去,ɦ,ioŋ,213,陽平,ɕ,ioŋ,35,陽平,0,ioŋ,323,陽平,ɦ,ioŋ,223,陽平,ɦ,iʊŋ,233,陽平,ɦ,ioŋ,213,陽去,ɦ,ioŋ,231,陽平,ɦ,ioŋ,24,陽平,j,ioŋ,24,陽平,ɦ,ioŋ,223,陽平,0,ioŋ,324,陽平,j,yoŋ,31,陽平,,ioŋ,423,陽平,ʑ,ioŋ,341,陽平,ʑ,ioŋ,21,陽平,0,ioŋ,341,陽平,,,,,,ioŋ,24,陽平,ʑ,iɔŋ,221,陽平,x,ioŋ,341,陽平,x,iuŋ,213,陽平,,ioŋ,52,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,tɕʰ,ioŋ,324,陰上,tɕʰ,ioŋ,433,陰平,,,,,dʑ,ioŋ,223,陽去,,,,,tɕʰ,ioŋ,35,陽平,dʑ,ioŋ,323,陽平,dʑ,ioŋ,223,陽平,tɕʰ,iʊŋ,52,陰平,tɕʰ,ioŋ,55,陰平,dʑ,ioŋ,231,陽平,tɕʰ,ioŋ,44,陰平,,,,,tɕʰ,ioŋ,44,陰平,dʑɦ,oŋ,324,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,iuŋ,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
